"Event_ID","Participant_ID","Exchange_Count","Turn_Count","Text_Prep","Text_Clean","emo_valence_b24","lex_freqlg10","sem_diversity","id","file","context","participants","laughter","short_pauses","medium_pauses","long_pauses","elongating","start_time","end_time","turn"
"Cuz","LENO",5,9,"how","how",5,5.1928,2.175813,14,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,0,1,0,0,"18680","21310",1
"Cuz","LENO",5,9,"do","do",5,5.4954,2.227245,14,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,0,1,0,0,"18680","21310",1
"Cuz","LENO",5,9,"you",NA,NA,NA,NA,14,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,0,1,0,0,"18680","21310",1
"Cuz","LENO",5,9,"know","know",5.11,5.4651,1.98089,14,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,0,1,0,0,"18680","21310",1
"Cuz","ALIN",5,10,"well","good",8.35,5.1242,2.196333,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"cause","cause",5,4.199,2.130147841,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"well","good",8.35,5.1242,2.196333,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"he",NA,NA,NA,NA,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"he",NA,NA,NA,NA,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"was",NA,NA,NA,NA,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
