x,y,gesture
0.05750493,7.312518,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_3_Gesture_38.80_38.93
0.16536853,7.163212,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_4_Move_40.57_41.90
0.08574129,7.249317,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_5_Move_42.93_44.97
7.6212807,7.1115036,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_6_Gesture_46.27_56.00
7.1564527,10.125762,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_7_Gesture_59.87_62.20
7.190808,10.289739,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_8_Gesture_63.37_69.97
2.1401632,2.814896,103_203_26_1_20250113_153140_siren_ground_guesser_cam02.mp4_segment_9_Gesture_2.10_5.67
8.214334,1.4457746,103_203_27_1_20250113_153217_jungle_ground_clueGiver_cam02.mp4_segment_1_Gesture_8.90_11.27
8.294169,8.276603,103_203_27_1_20250113_153217_jungle_ground_clueGiver_cam02.mp4_segment_2_Gesture_14.03_26.80
4.508275,6.9475756,103_203_27_1_20250113_153217_jungle_ground_clueGiver_cam02.mp4_segment_3_Gesture_27.47_27.83
8.143588,1.5079001,103_203_27_1_20250113_153217_jungle_ground_clueGiver_cam02.mp4_segment_4_Gesture_3.20_4.60
8.202049,1.4905825,103_203_27_1_20250113_153217_jungle_ground_clueGiver_cam02.mp4_segment_5_Gesture_6.80_6.97
8.185999,1.3834146,103_203_27_1_20250113_153217_jungle_ground_clueGiver_cam02.mp4_segment_6_Gesture_8.47_9.97
8.12928,8.129838,103_203_27_1_20250113_153217_jungle_ground_clueGiver_cam02.mp4_segment_7_Gesture_11.37_26.27
4.3375025,7.0584264,103_203_27_1_20250113_153217_jungle_ground_clueGiver_cam02.mp4_segment_8_Gesture_27.03_27.83
1.2071267,6.015692,103_203_27_1_20250113_153217_jungle_ground_guesser_cam02.mp4_segment_1_Gesture_1.80_2.90
0.04838156,7.3361907,103_203_27_1_20250113_153217_jungle_ground_guesser_cam02.mp4_segment_2_Move_6.77_8.90
1.1945285,6.000823,103_203_27_1_20250113_153217_jungle_ground_guesser_cam02.mp4_segment_3_Gesture_1.70_2.50
7.389159,8.248671,103_203_28_1_20250113_153235_birthday_ground_clueGiver_cam02.mp4_segment_1_Gesture_1.87_2.87
8.095218,8.972932,103_203_28_1_20250113_153235_birthday_ground_clueGiver_cam02.mp4_segment_2_Gesture_5.27_13.03
5.663867,8.296647,103_203_28_1_20250113_153235_birthday_ground_clueGiver_cam02.mp4_segment_3_Gesture_14.70_16.77
7.1904387,7.5720954,103_203_28_1_20250113_153235_birthday_ground_clueGiver_cam02.mp4_segment_4_Gesture_1.20_2.80
7.939848,8.706492,103_203_28_1_20250113_153235_birthday_ground_clueGiver_cam02.mp4_segment_5_Gesture_4.90_16.33
5.149906,8.330298,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_1_Gesture_1.83_2.57
8.38476,8.91096,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_2_Gesture_3.93_11.73
